date,symbol,open,high,low,close,macd,macd_signal_line,macd_hist,atr,bolling_middle_band,bolling_upper_band,bolling_lower_band,bolling_upper_diff,bolling_lower_diff,lrs,highest_high,lowest_low,pcn_highest_high,pcn_lowest_low,rmi,rsi,smi
1981-02-27,AAPL,0.0924745500087738,0.0933468925257759,0.0924745500087738,0.0924745500087738,-0.0045,-0.0047,0.0002,0.0033,0.0925,0.1025,0.0825,-0.009976151016698326,0.009925251034245935,-0.0005,,,0.0899,0.0829,32.5124,41.9355,14.5183
1981-03-02,AAPL,0.0929107442498207,0.0933469126905996,0.0929107442498207,0.0929107442498207,-0.0039,-0.0045,0.0006,0.0032,0.0922,0.1018,0.0826,-0.008843026612673902,0.010264515112315284,-0.0003,,,0.0933,0.0829,46.2756,41.3793,45.3132
1981-03-03,AAPL,0.0920383654224859,0.0920383654224859,0.0916021913290023,0.0916021913290023,-0.0036,-0.0044,0.0008,0.003,0.0921,0.1017,0.0825,-0.010048881097457413,0.009053263755462004,-0.0,,,0.0933,0.0829,50.3049,39.2857,51.7375
1981-03-04,AAPL,0.0911652858978271,0.0911652858978271,0.0907291173934936,0.0907291173934936,-0.0034,-0.0042,0.0008,0.0029,0.0918,0.1012,0.0824,-0.010432313974015076,0.008290548761002256,0.0001,,,0.0933,0.0881,51.8521,38.4615,42.19
1981-03-05,AAPL,0.0907291048710487,0.0907291048710487,0.0902929306030273,0.0902929306030273,-0.0032,-0.004,0.0008,0.0027,0.0914,0.1,0.0828,-0.00972345037996672,0.007509311586021333,0.0001,,,0.0933,0.0894,48.9483,37.5,19.8478
1981-03-06,AAPL,0.0902929069563738,0.0902929069563738,0.0894205644726753,0.0894205644726753,-0.0031,-0.0038,0.0007,0.0026,0.0908,0.0985,0.0831,-0.009083717058439217,0.006324846003789797,0.0001,,,0.0933,0.0903,44.4019,34.7826,-11.869
1981-03-09,AAPL,0.0828779899780792,0.0828779899780792,0.082441821694374,0.082441821694374,-0.0034,-0.0037,0.0003,0.0029,0.0899,0.0971,0.0827,-0.014687075790770596,-0.00022928082048138954,-0.0,,,0.0933,0.0894,34.7268,26.9231,-55.2901
1981-03-10,AAPL,0.0789516831101644,0.0789516831101644,0.0785155147314071,0.0785155147314071,-0.0041,-0.0038,-0.0003,0.003,0.0891,0.0975,0.0807,-0.01897098976962723,-0.0021979807675585744,-0.0001,,,0.092,0.0824,26.0706,23.0769,-80.1896
1981-03-11,AAPL,0.0763346540728961,0.0763346540728961,0.0754623115062713,0.0754623115062713,-0.0048,-0.004,-0.0008,0.003,0.0881,0.0979,0.0783,-0.022467190454335678,-0.0028081865331217037,-0.0004,,,0.0912,0.0785,19.3702,22.2222,-91.2391
1981-03-12,AAPL,0.0785155147314071,0.0789516831101644,0.0785155147314071,0.0785155147314071,-0.005,-0.0042,-0.0008,0.003,0.0875,0.098,0.077,-0.019484226881282485,0.0015152563440966882,-0.0007,,,0.0907,0.0755,15.9297,28.5714,-82.9795
1981-03-13,AAPL,0.0780793393248287,0.0780793393248287,0.0776431709527969,0.0776431709527969,-0.0052,-0.0044,-0.0008,0.0028,0.0868,0.098,0.0756,-0.02033415833250686,0.002020500238100645,-0.001,,,0.0903,0.0755,14.6235,26.9231,-74.2118
