	ts_code	hs_type	in_date	out_date	is_new
384	603517.SH	SH	20171211		1
385	603579.SH	SH	20171211		1
386	603603.SH	SH	20171211		1
387	603626.SH	SH	20171211		1
388	603728.SH	SH	20171211		1
389	603730.SH	SH	20171211		1
390	603799.SH	SH	20171211		1
391	603803.SH	SH	20171211		1
392	603833.SH	SH	20171211		1
393	603881.SH	SH	20171211		1
394	601330.SH	SH	20180626		1
395	601068.SH	SH	20180914		1
396	601990.SH	SH	20181217		1
397	603039.SH	SH	20181217		1
398	603043.SH	SH	20181217		1
399	603259.SH	SH	20181217		1
400	603283.SH	SH	20181217		1
401	603367.SH	SH	20181217		1
402	603466.SH	SH	20181217		1
403	603486.SH	SH	20181217		1
404	603587.SH	SH	20181217		1
405	603596.SH	SH	20181217		1
406	603650.SH	SH	20181217		1
407	603666.SH	SH	20181217		1
408	603680.SH	SH	20181217		1
409	603713.SH	SH	20181217		1
410	603733.SH	SH	20181217		1
411	603773.SH	SH	20181217		1
412	603801.SH	SH	20181217		1
413	603871.SH	SH	20181217		1
414	603882.SH	SH	20181217		1
415	603897.SH	SH	20181217		1
416	603986.SH	SH	20181217		1
417	601916.SH	SH	20191210		1
418	603806.SH	SH	20160613		1
419	601069.SH	SH	20160613		1
420	600310.SH	SH	20160613		1
421	600260.SH	SH	20160613		1
422	603997.SH	SH	20160613		1
423	603939.SH	SH	20160613		1
424	600763.SH	SH	20160613		1
425	600879.SH	SH	20160613		1
426	600606.SH	SH	20160613		1
427	600418.SH	SH	20160613		1
428	600297.SH	SH	20160613		1
429	600466.SH	SH	20160613		1
430	600373.SH	SH	20160613		1
431	603866.SH	SH	20160613		1
432	600061.SH	SH	20160613		1
433	601155.SH	SH	20160613		1
434	603008.SH	SH	20160613		1
435	600803.SH	SH	20160613		1
436	600053.SH	SH	20160613		1
437	603108.SH	SH	20161212		1
438	603737.SH	SH	20161212		1
439	603339.SH	SH	20161212		1
440	603588.SH	SH	20161212		1
441	600105.SH	SH	20161212		1
442	600531.SH	SH	20161212		1
443	603868.SH	SH	20161212		1
444	603198.SH	SH	20161212		1
445	600093.SH	SH	20161212		1
446	600975.SH	SH	20161212		1
447	600809.SH	SH	20161212		1
448	603989.SH	SH	20161212		1
449	600477.SH	SH	20161212		1
450	600299.SH	SH	20161212		1
451	600986.SH	SH	20161212		1
452	601828.SH	SH	20180131		1
453	601005.SH	SH	20180309		1
454	601298.SH	SH	20190211		1
455	601865.SH	SH	20190301		1
456	600871.SH	SH	20190402		1
457	600008.SH	SH	20191216		1
458	600057.SH	SH	20191216		1
459	600150.SH	SH	20191216		1
460	600155.SH	SH	20191216		1
461	600177.SH	SH	20191216		1
462	600221.SH	SH	20191216		1
463	600368.SH	SH	20191216		1
464	600378.SH	SH	20191216		1
465	600604.SH	SH	20191216		1
466	600736.SH	SH	20191216		1
467	600740.SH	SH	20191216		1
468	600745.SH	SH	20191216		1
469	600771.SH	SH	20191216		1
470	600928.SH	SH	20191216		1
471	600968.SH	SH	20191216		1
472	600989.SH	SH	20191216		1
473	601236.SH	SH	20191216		1
474	601066.SH	SH	20180704		1
475	600860.SH	SH	20180404		1
476	601869.SH	SH	20180803		1
477	601698.SH	SH	20191216		1
478	601949.SH	SH	20191216		1
479	601952.SH	SH	20191216		1
480	603236.SH	SH	20191216		1
481	603267.SH	SH	20191216		1
482	603279.SH	SH	20191216		1
483	603317.SH	SH	20191216		1
484	603327.SH	SH	20191216		1
485	603360.SH	SH	20191216		1
486	603379.SH	SH	20191216		1
487	603429.SH	SH	20191216		1
488	603508.SH	SH	20191216		1
489	603605.SH	SH	20191216		1
490	603606.SH	SH	20191216		1
491	603613.SH	SH	20191216		1
492	603681.SH	SH	20191216		1
493	603687.SH	SH	20191216		1
494	603915.SH	SH	20191216		1
495	603956.SH	SH	20191216		1
496	603982.SH	SH	20191216		1
497	603983.SH	SH	20191216		1
498	601811.SH	SH	20160822		1
499	601881.SH	SH	20170213		1
500	603157.SH	SH	20171016		1
501	600025.SH	SH	20180611		1
502	600094.SH	SH	20180611		1
503	600231.SH	SH	20180611		1
504	600252.SH	SH	20180611		1
505	600315.SH	SH	20180611		1
506	600392.SH	SH	20180611		1
507	600452.SH	SH	20180611		1
508	600545.SH	SH	20180611		1
509	600588.SH	SH	20180611		1
510	600760.SH	SH	20180611		1
511	600782.SH	SH	20180611		1
512	600801.SH	SH	20180611		1
513	600933.SH	SH	20180611		1
514	601003.SH	SH	20180611		1
515	601019.SH	SH	20180611		1
516	601100.SH	SH	20180611		1
517	601108.SH	SH	20180611		1
518	601360.SH	SH	20180611		1
519	601838.SH	SH	20180611		1
520	601966.SH	SH	20180611		1
521	603007.SH	SH	20180611		1
522	603056.SH	SH	20180611		1
523	603080.SH	SH	20180611		1
524	603103.SH	SH	20180611		1
525	603180.SH	SH	20180611		1
526	603260.SH	SH	20180611		1
527	603337.SH	SH	20180611		1
528	603357.SH	SH	20180611		1
529	603363.SH	SH	20180611		1
530	603533.SH	SH	20180611		1
531	603659.SH	SH	20180611		1
532	603660.SH	SH	20180611		1
533	603707.SH	SH	20180611		1
534	603711.SH	SH	20180611		1
535	603848.SH	SH	20180611		1
536	601077.SH	SH	20191112		1
537	601658.SH	SH	20191227		1
538	601375.SH	SH	20170117		1
539	601326.SH	SH	20170830		1
540	601319.SH	SH	20181130		1
541	600021.SH	SH	20190617		1
542	601598.SH	SH	20190118		1
543	600120.SH	SH	20190617		1
544	600132.SH	SH	20190617		1
545	600170.SH	SH	20190617		1
546	600219.SH	SH	20190617		1
547	600369.SH	SH	20190617		1
548	600639.SH	SH	20190617		1
549	600675.SH	SH	20190617		1
550	600704.SH	SH	20190617		1
551	600733.SH	SH	20190617		1
552	600738.SH	SH	20190617		1
553	600845.SH	SH	20190617		1
554	600848.SH	SH	20190617		1
555	600895.SH	SH	20190617		1
556	600903.SH	SH	20190617		1
557	600985.SH	SH	20190617		1
558	601018.SH	SH	20190617		1
559	601162.SH	SH	20190617		1
560	601577.SH	SH	20190617		1
561	601615.SH	SH	20190617		1
562	601860.SH	SH	20190617		1
563	601872.SH	SH	20190617		1
564	603027.SH	SH	20190617		1
565	603121.SH	SH	20190617		1
566	603127.SH	SH	20190617		1
567	603185.SH	SH	20190617		1
568	603220.SH	SH	20190617		1
569	603332.SH	SH	20190617		1
570	603351.SH	SH	20190617		1
571	603393.SH	SH	20190617		1
572	603501.SH	SH	20190617		1
573	603505.SH	SH	20190617		1
574	603583.SH	SH	20190617		1
575	603590.SH	SH	20190617		1
576	603638.SH	SH	20190617		1
577	603708.SH	SH	20190617		1
578	603712.SH	SH	20190617		1
579	603808.SH	SH	20190617		1
580	603876.SH	SH	20190617		1
